date,value
03-08-22,56700
04-08-22,58430
05-08-22,57200
06-08-22,57380
07-08-22,56480
08-08-22,58810
09-08-22,59380
10-08-22,59910
11-08-22,58650
12-08-22,60390
13-08-22,57910
14-08-22,59430
15-08-22,57380
16-08-22,56890
17-08-22,57400
18-08-22,58920
19-08-22,57870
20-08-22,56720
21-08-22,57260
22-08-22,59500
23-08-22,58030
24-08-22,57510
25-08-22,58210
26-08-22,56140
27-08-22,56270
28-08-22,54340
29-08-22,55670
30-08-22,55460
31-08-22,55020
01-09-22,53000
02-09-22,53740
03-09-22,54470
04-09-22,54840
05-09-22,53900
06-09-22,54280
07-09-22,53970
08-09-22,56540
09-09-22,54210
10-09-22,54780
11-09-22,58500
12-09-22,56090
13-09-22,55960
14-09-22,58490
15-09-22,57560
16-09-22,58850
17-09-22,58280
18-09-22,58650
19-09-22,58670
20-09-22,58110
21-09-22,58590
22-09-22,59330
23-09-22,59230
24-09-22,58250
25-09-22,58120
26-09-22,56980
27-09-22,57880
28-09-22,56370
29-09-22,54520
30-09-22,55990
01-10-22,54340
02-10-22,55260
03-10-22,53440
04-10-22,53880
05-10-22,51480
06-10-22,50710
07-10-22,49170
08-10-22,53680
09-10-22,51160
10-10-22,50340
11-10-22,48230
12-10-22,46080
13-10-22,44030
14-10-22,46880
15-10-22,44870
16-10-22,45410
17-10-22,45180
18-10-22,45210
19-10-22,44110
20-10-22,43820
21-10-22,42790
22-10-22,43000
23-10-22,43410
24-10-22,41960
25-10-22,43030
26-10-22,43040
27-10-22,42200
28-10-22,42190
29-10-22,43110
30-10-22,43910
31-10-22,43170
01-11-22,43020
02-11-22,42220
03-11-22,38950
04-11-22,37760
05-11-22,38760
06-11-22,40000
07-11-22,38830
08-11-22,38380
09-11-22,37090
10-11-22,36740
11-11-22,36640
12-11-22,35050
13-11-22,37670
14-11-22,37630
15-11-22,37970
16-11-22,37870
17-11-22,37730
18-11-22,36520
19-11-22,36950
20-11-22,36600
21-11-22,38140
22-11-22,37990
23-11-22,34410
24-11-22,36330
25-11-22,37330
26-11-22,34940
27-11-22,36460
28-11-22,37570
29-11-22,35230
30-11-22,35630
01-12-22,35600
02-12-22,32750
03-12-22,36820
04-12-22,35560
05-12-22,33650
06-12-22,35030
07-12-22,35310
08-12-22,35950
09-12-22,37690
10-12-22,35620
11-12-22,36080
12-12-22,36950
13-12-22,35530
14-12-22,34640
15-12-22,36830
16-12-22,35940
17-12-22,35840
18-12-22,33740
19-12-22,33890
20-12-22,31700
21-12-22,34570
22-12-22,35680
23-12-22,35100
24-12-22,35590
25-12-22,35720
26-12-22,35620
27-12-22,36640
28-12-22,35420
29-12-22,36900
30-12-22,37070
31-12-22,35750
01-01-23,36950
02-01-23,34940
03-01-23,35930
04-01-23,36390
05-01-23,34250
06-01-23,35640
07-01-23,34880
08-01-23,35000
09-01-23,28150
10-01-23,35380
11-01-23,35630
12-01-23,36780
13-01-23,33600
14-01-23,36860
15-01-23,36200
16-01-23,35300
17-01-23,36880
18-01-23,38300
19-01-23,37230
20-01-23,36340
21-01-23,37080
22-01-23,35930
23-01-23,33570
24-01-23,34910
25-01-23,34230
26-01-23,35300
27-01-23,34480
28-01-23,35020
29-01-23,34440
30-01-23,35230
31-01-23,35300
01-02-23,35460
02-02-23,34460
03-02-23,34200
04-02-23,32950
05-02-23,32760
06-02-23,32750
07-02-23,33600
08-02-23,32350
09-02-23,35340
10-02-23,32560
11-02-23,32940
12-02-23,30660
13-02-23,34290
14-02-23,34010
15-02-23,35920
16-02-23,37990
17-02-23,35870
18-02-23,34630
19-02-23,36600
20-02-23,35410
21-02-23,40070
22-02-23,38340
23-02-23,38020
24-02-23,37300
25-02-23,38570
26-02-23,44930
27-02-23,43970
28-02-23,44870
01-03-23,46060
02-03-23,47190
03-03-23,48760
04-03-23,47940
05-03-23,48020
06-03-23,51850
07-03-23,50230
08-03-23,50380
09-03-23,51590
10-03-23,51790
11-03-23,53900
12-03-23,53030
13-03-23,53620
14-03-23,53430
15-03-23,55230
16-03-23,54580
17-03-23,55100
18-03-23,56070
19-03-23,55340
20-03-23,56310
21-03-23,56300
22-03-23,56850
23-03-23,57340
24-03-23,58490
25-03-23,58290
26-03-23,57910
27-03-23,57630
28-03-23,54700
29-03-23,52150
30-03-23,51140
31-03-23,51700
01-04-23,49690
02-04-23,46290
03-04-23,44320
04-04-23,44110
05-04-23,42460
06-04-23,43420
07-04-23,43560
08-04-23,42530
09-04-23,43330
10-04-23,41880
11-04-23,41500
12-04-23,41530
13-04-23,41770
14-04-23,41700
15-04-23,42170
16-04-23,42170
17-04-23,42800
18-04-23,45080
19-04-23,43830
20-04-23,51540
21-04-23,57040
22-04-23,49530
23-04-23,53590
24-04-23,54320
25-04-23,55320
26-04-23,55980
27-04-23,55440
28-04-23,56550
29-04-23,54160
30-04-23,51450
01-05-23,50270
02-05-23,47840
03-05-23,44880
04-05-23,45830
05-05-23,45170
06-05-23,45630
07-05-23,45190
08-05-23,45030
09-05-23,45470
10-05-23,44880
11-05-23,43700
12-05-23,43700
13-05-23,42920
14-05-23,43450
15-05-23,44930
16-05-23,44730
17-05-23,47070
18-05-23,48220
19-05-23,50150
20-05-23,49450
21-05-23,46570
22-05-23,46520
23-05-23,46780
24-05-23,48930
25-05-23,49160
26-05-23,48650
27-05-23,48910
28-05-23,47370
29-05-23,49010
30-05-23,48760
31-05-23,48170
01-06-23,47390
02-06-23,47760
03-06-23,46830
04-06-23,45780
